"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"SL","2018-09-28","85.4","-1.2798","6.2590","Jordan Hicks",595879,663855,"null","foul",,,,,3,"null","R","R","R","CHC","STL","S","null","null",1,0,2018,"0.9460","0.0505","0.3033","3.3928","null","null","null",0,8,"Bot","null","null",,,425877,,"180928_205536","1.8473","-124.4022","-0.5952","9.3208","23.9328","-31.7743","3.4110","1.6555","15","55.8","-11","84.9330","2407","5.8320",531804,663855,425877,572761,543939,576397,657557,542303,664056,500874,"54.6651","null","null","null","null","null","null","null",65,"2","Slider",5,2,5,2,2,5,5,2,"Standard","Standard"
"SL","2018-09-28","84.9","-1.4120","6.3733","Jordan Hicks",595879,663855,"null","ball",,,,,14,"null","R","R","R","CHC","STL","B","null","null",0,0,2018,"1.1294","-0.2771","0.9872","2.3029","null","null","null",0,8,"Bot","null","null",,,425877,,"180928_205507","3.3732","-123.5398","-2.6483","10.6723","24.0779","-34.6793","3.5278","1.7960","null","null","null","84.1010","2481","5.7140",531804,663855,425877,572761,543939,576397,657557,542303,664056,500874,"54.7827","null","null","null","null","null","null","null",65,"1","Slider",5,2,5,2,2,5,5,2,"Standard","Standard"
"SI","2018-09-26","98.5","-0.8213","6.4122","Jordan Hicks",543768,663855,"field_out","hit_into_play",,,,,14,"Travis Shaw grounds out, first baseman Matt Carpenter to pitcher Jordan Hicks.  ","R","L","R","STL","MIL","X",3,"ground_ball",1,1,2018,"-1.1938","1.0925","0.3207","1.3147","null","null","null",2,7,"Top","153.50","167.46",,,425877,,"180927_013358","5.8854","-143.0296","-10.9511","-17.7910","30.7860","-14.8899","3.6803","1.8438","12","76.7","-6","98.8610","1886","6.4560",531778,663855,425877,572761,543939,622168,657557,542303,664056,500874,"54.0420","0.097","0.089","0.00",1,0,0,2,53,"3","Sinker",1,2,2,1,2,1,2,1,"Standard","Standard"
"SI","2018-09-26","100.6","-0.9409","6.5071","Jordan Hicks",543768,663855,"null","called_strike",,,,,6,"null","R","L","R","STL","MIL","S","null","null",1,0,2018,"-1.1619","0.8013","0.5033","2.7024","null","null","null",2,7,"Top","null","null",,,425877,,"180927_013338","6.8183","-146.2849","-7.1516","-18.4282","34.5961","-19.0888","3.7095","1.9607","null","null","null","101.0760","2163","6.5930",531778,663855,425877,572761,543939,622168,657557,542303,664056,500874,"53.9054","null","null","null","null","null","null","null",53,"2","Sinker",1,2,2,1,2,1,2,1,"Standard","Standard"
"SI","2018-09-26","102.6","-0.6212","6.6243","Jordan Hicks",543768,663855,"null","ball",,,,,14,"null","R","L","R","STL","MIL","B","null","null",0,0,2018,"-1.1481","0.9728","0.8499","2.2999","null","null","null",2,7,"Top","null","null",,,425877,,"180927_013314","6.9705","-149.1359","-9.3779","-18.8872","35.4001","-15.5507","3.6218","1.6977","null","null","null","102.9310","2102","6.4970",531778,663855,425877,572761,543939,622168,657557,542303,664056,500874,"54.0018","null","null","null","null","null","null","null",53,"1","Sinker",1,2,2,1,2,1,2,1,"Standard","Standard"
"SI","2018-09-26","100.6","-0.8354","6.5711","Jordan Hicks",542583,663855,"grounded_into_double_play","hit_into_play",,,,,2,"Jesus Aguilar grounds into a double play, shortstop Paul DeJong to second baseman Kolten Wong to first baseman Matt Carpenter.   Christian Yelich out at 2nd.  ","R","R","R","STL","MIL","X",6,"ground_ball",2,2,2018,"-1.1262","0.8190","-0.2056","3.0948","null","null",592885,0,7,"Top","115.91","151.71",,,425877,,"180927_013231","4.4329","-146.4894","-6.3092","-17.3083","31.8795","-19.1095","3.6510","1.7854","59","101.2","1","101.2270","2011","6.4160",531778,663855,425877,572761,543939,622168,657557,542303,664056,500874,"54.0822","0.455","0.408","0.00",1,0,0,4,52,"5","Sinker",1,2,2,1,2,1,2,1,"Standard","Standard"
"SI","2018-09-26","100.2","-1.0251","6.4400","Jordan Hicks",542583,663855,"null","called_strike",,,,,4,"null","R","R","R","STL","MIL","S","null","null",2,1,2018,"-1.2246","0.7436","-0.4495","2.9038","null","null",592885,0,7,"Top","null","null",,,425877,,"180927_013204","4.4913","-145.8877","-6.2158","-18.5751","31.9404","-20.3292","3.4814","1.6977","null","null","null","100.7080","1992","6.3810",531778,663855,425877,572761,543939,622168,657557,542303,664056,500874,"54.1175","null","null","null","null","null","null","null",52,"4","Sinker",1,2,2,1,2,1,2,1,"Standard","Standard"
"SI","2018-09-26","100.4","-0.8286","6.4534","Jordan Hicks",542583,663855,"null","ball",,,,,14,"null","R","R","R","STL","MIL","B","null","null",1,1,2018,"-1.2838","0.9980","1.4084","2.5670","null","null",592885,0,7,"Top","null","null",,,425877,,"180927_013139","9.2540","-145.9165","-7.8022","-20.5318","32.3307","-16.2756","3.6218","1.8146","null","null","null","100.8150","2062","6.4530",531778,663855,425877,572761,543939,622168,657557,542303,664056,500874,"54.0456","null","null","null","null","null","null","null",52,"3","Sinker",1,2,2,1,2,1,2,1,"Standard","Standard"
"SL","2018-09-26","87.7","-1.0434","6.3203","Jordan Hicks",542583,663855,"null","ball",,,,,14,"null","R","R","R","STL","MIL","B","null","null",0,1,2018,"1.0477","-0.1826","1.0569","1.5664","null","null",592885,0,7,"Top","null","null",,,425877,,"180927_013114","2.9282","-127.6906","-4.9943","10.7470","25.5979","-33.3754","3.4814","1.7269","null","null","null","87.3540","2474","5.9780",531778,663855,425877,572761,543939,622168,657557,542303,664056,500874,"54.5201","null","null","null","null","null","null","null",52,"2","Slider",1,2,2,1,2,1,2,1,"Standard","Standard"
"SL","2018-09-26","86.4","-1.1150","6.3500","Jordan Hicks",542583,663855,"null","called_strike",,,,,12,"null","R","R","R","STL","MIL","S","null","null",0,0,2018,"1.1947","0.0406","0.8344","2.6397","null","null",592885,0,7,"Top","null","null",,,425877,,"180927_013050","2.2345","-125.8173","-2.7226","12.1265","24.5057","-31.4415","3.5542","1.7176","null","null","null","86.1230","2537","5.9800",531778,663855,425877,572761,543939,622168,657557,542303,664056,500874,"54.5180","null","null","null","null","null","null","null",52,"1","Slider",1,2,2,1,2,1,2,1,"Standard","Standard"
"SI","2018-09-26","101.6","-0.9746","6.5509","Jordan Hicks",592885,663855,"walk","ball",,,,,11,"Christian Yelich walks.  ","R","L","R","STL","MIL","B","null","null",3,2,2018,"-1.2470","0.8344","-0.6901","4.4800","null","null","null",0,7,"Top","null","null",,,425877,,"180927_013005","3.7689","-147.9816","-2.5394","-19.1801","33.3394","-19.5437","3.3587","1.7562","null","null","null","101.8590","2001","6.2520",531778,663855,425877,572761,543939,622168,657557,542303,664056,500874,"54.2463","null","null","0.70",1,0,0,"null",51,"6","Sinker",1,2,2,1,2,1,2,1,"Standard","Standard"
"SI","2018-09-26","101.1","-0.8187","6.4290","Jordan Hicks",592885,663855,"null","called_strike",,,,,2,"null","R","L","R","STL","MIL","S","null","null",3,1,2018,"-1.3158","0.8349","0.0731","2.8570","null","null","null",0,7,"Top","null","null",,,425877,,"180927_012942","5.6745","-147.1604","-6.7059","-20.6094","33.3037","-18.5885","3.3295","1.6977","null","null","null","101.8340","2028","6.5660",531778,663855,425877,572761,543939,622168,657557,542303,664056,500874,"53.9329","null","null","null","null","null","null","null",51,"5","Sinker",1,2,2,1,2,1,2,1,"Standard","Standard"
"SL","2018-09-26","86.3","-0.9788","6.4103","Jordan Hicks",592885,663855,"null","ball",,,,,11,"null","R","L","R","STL","MIL","B","null","null",2,1,2018,"1.1154","-0.0714","-0.4899","4.1302","null","null","null",0,7,"Top","null","null",,,425877,,"180927_012919","-1.0547","-125.5913","0.9074","11.8469","24.4575","-33.3259","3.3879","1.7562","null","null","null","85.7970","2475","5.8730",531778,663855,425877,572761,543939,622168,657557,542303,664056,500874,"54.6253","null","null","null","null","null","null","null",51,"4","Slider",1,2,2,1,2,1,2,1,"Standard","Standard"
"SI","2018-09-26","101.6","-0.6455","6.6185","Jordan Hicks",592885,663855,"null","ball",,,,,11,"null","R","L","R","STL","MIL","B","null","null",1,1,2018,"-1.1149","0.9249","-0.3560","4.1081","null","null","null",0,7,"Top","null","null",,,425877,,"180927_012859","3.4870","-147.9995","-4.0111","-17.2482","32.8989","-17.8161","3.3002","1.7562","null","null","null","102.1330","1982","6.3650",531778,663855,425877,572761,543939,622168,657557,542303,664056,500874,"54.1336","null","null","null","null","null","null","null",51,"3","Sinker",1,2,2,1,2,1,2,1,"Standard","Standard"
"SL","2018-09-26","83.7","-0.9978","6.4913","Jordan Hicks",592885,663855,"null","called_strike",,,,,5,"null","R","L","R","STL","MIL","S","null","null",1,0,2018,"1.3307","-0.2256","0.0389","2.8214","null","null","null",0,7,"Top","null","null",,,425877,,"180927_012839","-0.1895","-121.9260","-1.6188","13.1129","23.9920","-34.3091","3.3879","1.7269","null","null","null","83.2420","2440","5.9270",531778,663855,425877,572761,543939,622168,657557,542303,664056,500874,"54.5715","null","null","null","null","null","null","null",51,"2","Slider",1,2,2,1,2,1,2,1,"Standard","Standard"
"SL","2018-09-26","82.8","-1.0017","6.3790","Jordan Hicks",592885,663855,"null","ball",,,,,12,"null","R","L","R","STL","MIL","B","null","null",0,0,2018,"0.8508","-0.3694","0.1621","4.7832","null","null","null",0,7,"Top","null","null",,,425877,,"180927_012817","1.0177","-120.5394","3.4993","7.9975","22.6362","-36.6151","3.3879","1.7854","null","null","null","82.3910","2069","5.9140",531778,663855,425877,572761,543939,622168,657557,542303,664056,500874,"54.5846","null","null","null","null","null","null","null",51,"1","Slider",1,2,2,1,2,1,2,1,"Standard","Standard"
"SL","2018-09-24","92.4","-1.1488","6.6134","Jordan Hicks",542583,663855,"strikeout","swinging_strike",,,,,14,"Jesus Aguilar strikes out swinging.  ","R","R","R","STL","MIL","S",2,"null",1,2,2018,"0.7281","0.5577","0.9780","1.9143",434158,"null",592885,2,7,"Top","null","null",,,425877,,"180925_024941","3.8256","-134.3315","-7.2624","7.8109","29.4146","-24.2041","3.4900","1.6010","null","null","null","91.5090","2533","5.8260",531748,663855,425877,572761,622168,576397,657557,542303,664056,500874,"54.6720","null","null","0.00",1,0,0,"null",57,"5","Slider",4,4,4,4,4,4,4,4,"Standard","Standard"
"FF","2018-09-24","103.0","-0.7268","6.8520","Jordan Hicks",542583,663855,"null","foul",,,,,11,"null","R","R","R","STL","MIL","S","null","null",1,2,2018,"-0.9221","1.1637","-1.1660","4.3557",434158,"null",592885,2,7,"Top","null","null",,,425877,,"180925_024915","0.9825","-149.9435","-4.6637","-14.0514","38.0440","-13.8028","3.4900","1.6010","135","85.7","9","102.7470","2198","6.2410",531748,663855,425877,572761,622168,576397,657557,542303,664056,500874,"54.2577","null","null","null","null","null","null","null",57,"4","4-Seam Fastball",4,4,4,4,4,4,4,4,"Standard","Standard"
"SI","2018-09-24","103.1","-0.7860","6.7181","Jordan Hicks",542583,663855,"null","foul",,,,,11,"null","R","R","R","STL","MIL","S","null","null",1,1,2018,"-1.2039","0.8218","-0.3569","3.6149",434158,"null",592885,2,7,"Top","null","null",,,425877,,"180925_024852","4.1189","-150.1124","-5.6113","-19.1079","34.8454","-18.6945","3.4900","1.6010","174","66.4","55","103.1480","2136","6.1900",531748,663855,425877,572761,622168,576397,657557,542303,664056,500874,"54.3081","null","null","null","null","null","null","null",57,"3","Sinker",4,4,4,4,4,4,4,4,"Standard","Standard"
"SI","2018-09-24","102.7","-1.0652","6.6435","Jordan Hicks",542583,663855,"null","foul",,,,,11,"null","R","R","R","STL","MIL","S","null","null",1,0,2018,"-1.2254","1.0840","-0.9963","3.6937",434158,"null",592885,2,7,"Top","null","null",,,425877,,"180925_024759","3.1303","-149.3232","-5.6543","-18.9006","39.0907","-14.9438","3.4900","1.6010","null","null","null","101.9930","2214","6.1490",531748,663855,425877,572761,622168,576397,657557,542303,664056,500874,"54.3499","null","null","null","null","null","null","null",57,"2","Sinker",4,4,4,4,4,4,4,4,"Standard","Standard"
