pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,fielder_2,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher_1,fielder_2_1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,four_seam,curve_ball,cutter,unnamed_pitch,sinker,slider,changeup,two_seam,split_finger,knuckle_curve,forkball,eephus,pitch_out,screwball,knuckle_ball,strike,up_zone,mid_zone,down_zone,hit,swinging_strike,chapman,betances,britton,green,ottavino,id,pitch_count
SL,2018-03-29,88.1,0.8123,6.1737,Aroldis Chapman,434778,547973,null,swinging_strike,7,null,R,R,L,TOR,NYY,S,null,null,0,1,2018,-0.6857,0.0583,-0.8259,1.3475,null,null,null,2,9,Bot,null,null,596142,180329_225904,-2.5609,-128.2924,-5.7905,-7.093,25.2311,-30.5936,3.3236,1.4545,null,null,null,88.432,null,6.347,529415,547973,596142,435522,642180,592273,544369,458731,543305,592450,54.1534,null,null,null,null,null,null,null,72,2,Slider,1,6,1,6,6,1,1,6,Strategic,Standard,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,3,3
SL,2018-03-29,87.6,0.6714,6.2,Aroldis Chapman,434778,547973,null,foul,4,null,R,R,L,TOR,NYY,S,null,null,0,0,2018,-1.2114,0.3777,-0.7956,2.609,null,null,null,2,9,Bot,null,null,596142,180329_225837,-1.0406,-127.7184,-3.4102,-13.1948,24.0132,-27.5484,3.3226,1.4535,102,62.7,76,88.35,2579,6.458,529415,547973,596142,435522,642180,592273,544369,458731,543305,592450,54.0421,null,null,null,null,null,null,null,72,1,Slider,1,6,1,6,6,1,1,6,Strategic,Standard,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,4,4
FF,2018-03-29,99.3,0.647,5.9655,Aroldis Chapman,456665,547973,strikeout,called_strike,8,Steve Pearce called out on strikes.,R,R,L,TOR,NYY,S,2,null,2,2,2018,0.2988,1.6465,0.1339,1.7678,null,null,null,1,9,Bot,null,null,596142,180329_225756,-2.1199,-144.3822,-10.0284,4.6992,31.9815,-6.8419,3.5151,1.5338,null,null,null,99.971,2542,6.595,529415,547973,596142,435522,642180,592273,544369,458731,543305,592450,53.9053,null,null,0.00,1,0,0,null,71,5,4-Seam Fastball,1,6,1,6,6,1,1,6,Strategic,Standard,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,5,5
SL,2018-03-29,86.2,0.8386,6.0886,Aroldis Chapman,456665,547973,null,swinging_strike,2,null,R,R,L,TOR,NYY,S,null,null,2,1,2018,-1.1276,0.6653,0.1812,2.7428,null,null,null,1,9,Bot,null,null,596142,180329_225726,0.701,-125.5167,-3.1007,-12.0079,23.4635,-24.797,3.3135,1.3337,null,null,null,86.218,2534,6.094,529415,547973,596142,435522,642180,592273,544369,458731,543305,592450,54.4059,null,null,null,null,null,null,null,71,4,Slider,1,6,1,6,6,1,1,6,Strategic,Standard,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,6,6
FF,2018-03-29,96.9,0.7032,6.2112,Aroldis Chapman,456665,547973,null,foul,1,null,R,R,L,TOR,NYY,S,null,null,2,0,2018,0.3981,1.5521,-0.4386,2.9651,null,null,null,1,9,Bot,null,null,596142,180329_225701,-3.9774,-140.9328,-6.6957,6.2444,32.6288,-10.0805,3.3135,1.3337,205,76.9,59,97.143,2510,6.498,529415,547973,596142,435522,642180,592273,544369,458731,543305,592450,54.0021,null,null,null,null,null,null,null,71,3,4-Seam Fastball,1,6,1,6,6,1,1,6,Strategic,Standard,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,7,7
FF,2018-03-29,99.2,0.8482,6.1156,Aroldis Chapman,456665,547973,null,ball,14,null,R,R,L,TOR,NYY,B,null,null,1,0,2018,0.3653,1.6553,1.0768,1.4637,null,null,null,1,9,Bot,null,null,596142,180329_225639,-0.2308,-144.0725,-11.135,5.1299,35.2928,-6.6771,3.3914,1.5444,null,null,null,98.989,2649,6.402,529415,547973,596142,435522,642180,592273,544369,458731,543305,592450,54.0979,null,null,null,null,null,null,null,71,2,4-Seam Fastball,1,6,1,6,6,1,1,6,Strategic,Standard,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,9,8
FF,2018-03-29,99.1,0.7278,6.1626,Aroldis Chapman,456665,547973,null,ball,13,null,R,R,L,TOR,NYY,B,null,null,0,0,2018,0.3215,1.7235,-1.1219,1.8882,null,null,null,1,9,Bot,null,null,596142,180329_225620,-5.8208,-143.863,-10.2799,5.8823,34.761,-5.9079,3.5346,1.554,null,null,null,99.121,2628,6.527,529415,547973,596142,435522,642180,592273,544369,458731,543305,592450,53.9733,null,null,null,null,null,null,null,71,1,4-Seam Fastball,1,6,1,6,6,1,1,6,Strategic,Standard,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,10,9
FF,2018-03-29,98.5,0.8046,6.1689,Aroldis Chapman,475253,547973,field_out,hit_into_play,6,Justin Smoak lines out to right fielder Aaron Judge.,R,R,L,TOR,NYY,X,9,line_drive,0,0,2018,0.4388,1.5161,0.3627,2.7683,null,null,null,0,9,Bot,185.32,110.66,596142,180329_225532,-2.2462,-143.3546,-7.3737,6.6342,34.2341,-9.5488,3.3638,1.5148,332,96.4,20,99.042,2530,6.658,529415,547973,596142,435522,642180,592273,544369,458731,543305,592450,53.8418,0.284,0.389,0.00,1,0,0,4,70,1,4-Seam Fastball,1,6,1,6,6,1,1,6,Strategic,Standard,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,12,10
SL,2018-03-29,87.1,-1.0975,6.1067,Dellin Betances,518626,476454,field_out,hit_into_play,2,Josh Donaldson pops out to first baseman Neil Walker in foul territory.,R,R,R,TOR,NYY,X,3,popup,2,2,2018,0.2229,-0.7715,-0.2057,2.9718,null,null,null,2,8,Bot,162.31,184.55,596142,180329_225343,1.6813,-126.8078,0.1581,2.0573,24.5351,-40.6725,3.3135,1.4142,131,79.1,73,86.84,2337,5.976,529415,476454,596142,435522,642180,592273,544369,458731,543305,592450,54.5243,0.000,0.000,0.00,1,0,0,3,65,5,Slider,1,5,1,5,5,1,1,5,Strategic,Standard,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,29,1
FF,2018-03-29,96.3,-1.1662,6.1832,Dellin Betances,518626,476454,null,foul,5,null,R,R,R,TOR,NYY,S,null,null,2,1,2018,-0.3969,1.342,0.191,2.6716,null,null,null,2,8,Bot,null,null,596142,180329_225218,4.5055,-140.095,-6.7802,-6.2486,32.0808,-13.1985,3.3135,1.4142,null,null,null,96.305,2267,6.338,529415,476454,596142,435522,642180,592273,544369,458731,543305,592450,54.1622,null,null,null,null,null,null,null,65,4,4-Seam Fastball,1,5,1,5,5,1,1,5,Strategic,Standard,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,30,2
FF,2018-03-29,NA,NA,NA,Dellin Betances,518626,476454,null,swinging_strike,NA,null,R,R,R,TOR,NYY,S,null,null,2,0,2018,NA,NA,NA,NA,null,null,null,2,8,Bot,null,null,596142,180329_225329,NA,NA,NA,NA,NA,NA,3.5044,1.6244,null,null,null,NA,null,NA,529415,476454,596142,435522,642180,592273,544369,458731,543305,592450,NA,null,null,null,null,null,null,null,65,3,4-Seam Fastball,1,5,1,5,5,1,1,5,Infield shift,Standard,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,0,1,0,1,0,0,0,31,3
KC,2018-03-29,82.7,-1.4009,5.9599,Dellin Betances,518626,476454,null,ball,12,null,R,R,R,TOR,NYY,B,null,null,1,0,2018,1.0133,-0.0447,0.2944,4.2705,null,null,null,2,8,Bot,null,null,596142,180329_224048,1.9072,-120.2737,2.7247,9.296,23.7718,-33.3807,3.3527,1.6053,null,null,null,82.041,2683,5.921,529415,476454,596142,435522,642180,592273,544369,458731,543305,592450,54.5794,null,null,null,null,null,null,null,65,2,Knuckle Curve,1,5,1,5,5,1,1,5,Strategic,Standard,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,32,4
