"","pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","fielder_2","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher_1","fielder_2_1","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","four_seam","curve_ball","cutter","unnamed_pitch","sinker","slider","changeup","two_seam","split_finger","knuckle_curve","forkball","eephus","pitch_out","screwball","knuckle_ball","strike","up_zone","mid_zone","down_zone","hit","swinging_strike","chapman","betances","britton","green","ottavino","id","pitch_count"
"1186","SL",2018-07-29,86.8,-2.2718,6.0463,"Chad Green",641531,643338,"null","ball",14,"null","R","R","R","NYY","KC","B","null","null",0,1,2018,0.2436,0.0739,0.9173,1.2614,"null","null","null",0,7,"Top","null","null",519222,"180729_191846",7.1319,-126.2947,-5.4527,1.2735,23.7631,-30.5557,3.6405,1.7205,"null","null","null",87.052,"2154",6.283,530989,643338,519222,595885,650402,609280,544369,458731,543305,519317,54.2151,"null","null","null","null","null","null","null",53,2,"Slider",6,1,1,6,1,6,1,6,"Standard","Standard",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3392,24
"1187","FF",2018-06-09,98.2,0.6738,5.9912,"Aroldis Chapman",457803,547973,"null","ball",12,"null","R","L","L","NYM","NYY","B","null","null",2,0,2018,0.5481,1.3941,1.0584,3.1342,"null","null","null",0,9,"Bot","null","null",596142,"180610_020150",-0.2555,-143.0582,-5.594,7.6836,35.0361,-11.6212,3.3941,1.5957,"null","null","null",99.071,"2339",6.853,530367,547973,596142,595885,650402,609280,544369,519317,543305,592450,53.647,"null","null","null","null","null","null","null",70,3,"4-Seam Fastball",3,4,3,4,4,3,3,4,"Infield shift","Standard",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1903,22
"1188","FF",2018-06-12,96.7,-2.4266,6.1788,"Chad Green",594694,643338,"null","ball",11,"null","R","L","R","NYY","WSH","B","null","null",0,2,2018,-0.1786,1.3608,-1.0506,3.9814,"null","null","null",1,7,"Top","null","null",519222,"180613_011401",4.0443,-140.7103,-3.37,-3.2142,30.0264,-13.7558,3.23,1.5483,"null","null","null",96.387,"2310",5.977,530410,643338,519222,595885,650402,435522,544369,458731,543305,592450,54.5216,"null","null","null","null","null","null","null",54,3,"4-Seam Fastball",3,0,0,3,0,3,0,3,"Standard","Standard",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1987,13
"1189","FF",2018-06-01,97.8,0.6798,6.2014,"Aroldis Chapman",502226,547973,"strikeout","called_strike",3,"Craig Gentry called out on strikes.","R","R","L","BAL","NYY","S","2","null",3,2,2018,0.399,1.1754,0.7717,3.1354,"null","null","null",1,9,"Bot","null","null",519222,"180602_021037",-0.6913,-142.5252,-5.62,5.6858,30.6976,-14.8343,3.5098,1.6111,"null","null","null",99.006,"2357",6.741,530262,547973,519222,595885,650402,435522,544369,458731,543305,592450,53.7597,"null","null","0.00","1","0","0","null",74,6,"4-Seam Fastball",1,4,1,4,4,1,1,4,"Standard","Standard",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1688,5
"1190","FF",2018-08-14,98.4,-1.9162,5.9927,"Dellin Betances",605421,476454,"strikeout","swinging_strike",14,"Michael Perez strikes out swinging.","R","L","R","NYY","TB","S","2","null",3,2,2018,-0.4129,1.2914,0.3375,0.8536,"null","null","null",0,8,"Top","null","null",519222,"180815_013842",7.0827,-142.7866,-11.4968,-7.2418,31.0961,-12.0423,3.1268,1.3938,"null","null","null",98.715,"2178",6.497,531207,476454,519222,595885,650402,609280,544369,458731,543305,435522,54.0015,"null","null","0.00","1","0","0","null",56,8,"4-Seam Fastball",3,1,1,3,1,3,1,3,"Infield shift","Standard",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,3926,7
"1191","FF",2018-06-25,98.4,-1.5371,6.2105,"Dellin Betances",595751,476454,"null","ball",11,"null","R","R","R","PHI","NYY","B","null","null",0,0,2018,-0.6076,1.2251,-1.2945,3.4216,"null","null","664068",2,7,"Bot","null","null",519222,"180626_013324",2.0659,-143.2667,-4.9895,-8.8453,30.6031,-14.3631,3.697,1.7285,"null","null","null",98.815,"2421",6.325,530577,476454,519222,435522,650402,609280,544369,519317,458731,592450,54.1777,"null","null","null","null","null","null","null",53,1,"4-Seam Fastball",1,2,1,2,2,1,1,2,"Standard","Standard",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2450,24
"1192","KC",2018-09-16,85.3,-2.0614,5.8179,"Dellin Betances",500208,476454,"fielders_choice_out","hit_into_play",7,"Yangervis Solarte reaches on a fielder's choice out, pitcher Dellin Betances to catcher Gary Sanchez to third baseman Adeiny Hechavarria to pitcher Dellin Betances.   Rowdy Tellez out at home.","R","L","R","NYY","TOR","X","1","ground_ball",2,1,2018,1.2314,-0.208,-0.6713,1.8359,"642133","545341","null",1,8,"Top","128.10","182.19",596142,"180916_193108",0.8329,-124.2574,-2.7232,12.5215,22.1145,-34.04,3.1014,1.2993,"3","89.0","-30",85.214,"2577",5.924,531647,476454,596142,572228,650402,588751,544369,458731,543305,457705,54.5744,"0.063","0.056","0.00","1","0","0","2",58,4,"Knuckle Curve",2,3,3,2,3,2,3,2,"Strategic","Standard",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4752,4
"1193","SI",2018-09-28,94.8,0.7774,6.226,"Zach Britton",605141,502154,"null","blocked_ball",14,"null","R","R","L","BOS","NYY","B","null","null",0,1,2018,1.3905,0.5761,0.6165,0.7187,"null","null","607752",1,9,"Bot","null","null",596142,"180929_022624",-3.5281,-137.8014,-10.0116,18.5139,30.0753,-22.8481,3.1172,1.5201,"null","null","null",94.898,"1993",6.366,531801,502154,596142,572228,650402,609280,544369,457705,543305,592450,54.1344,"null","null","null","null","null","null","null",82,2,"Sinker",5,11,5,11,11,5,5,11,"Standard","Standard",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5156,21
"1194","FF",2018-04-11,95.2,-2.0538,5.8961,"Chad Green",646240,643338,"strikeout","swinging_strike",11,"Rafael Devers strikes out swinging.","R","L","R","BOS","NYY","S","2","null",1,2,2018,-0.2087,1.3894,-0.6652,3.621,"null","null","null",1,7,"Bot","null","null",596142,"180412_021725",4.1228,-138.4919,-3.4199,-3.6627,33.1045,-13.7577,3.4715,1.2475,"null","null","null",95.129,"2288",6.424,529582,643338,596142,435522,642180,609280,544369,519317,458731,592450,54.0764,"null","null","0.00","1","0","0","null",65,4,"4-Seam Fastball",6,10,6,10,10,6,6,10,"Standard","Standard",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,413,8
"1195","FT",2018-10-07,94.8,-2.6087,5.4593,"Adam Ottavino",592885,493603,"null","ball",14,"null","D","L","R","COL","MIL","B","null","null",0,1,2018,-0.9902,0.5756,1.4615,0.5672,"null","null","null",1,7,"Top","null","null",547172,"181007_224041",13.0336,-137.4708,-8.5609,-15.432,25.5951,-23.1717,3.2751,1.4917,"null","null","null",96.363,"2506",7.019,563385,493603,547172,435622,518934,571448,596115,407812,453568,471865,53.4833,"null","null","null","null","null","null","null",52,2,"2-Seam Fastball",0,4,4,0,4,0,4,0,"Strategic","Standard",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5442,6
